stagenm	birthnm	firstnm	dob	origin	gender
Francois Guerin	Gu\'erin	Fran\c cois	#	\Fr	M
Paul Guilfoyle	Guilfoyle	Paul	1902	\Am	M
The Little Tough Guys	n.a.	n.a.	1938	\Am	G
Edmund Gwenn	Gwenn	Edmund	1875	\Br	M
Fred Gwynne	Gwynne	Frederick Hubbard	1927	\Am	M
Buddy Hackett	Hackett	Leonard	1924	\Am	M
Joan Hackett	Hackett	Joan	1934	\Am	F
Gene Hackman	Hackman	Gene	1930	\Am	M
Sara Haden	Haden	Sara	1897	\Am	F
Reed Hadley	Herring	Reed	1911	\Am	M
Larry Hagman	Hagman	Larry	1930	\Am	M
Monte Hale	Hale	Monte	1919	\Am	M
Richard Hale	Hale	Richard	1893	\Am	M
Porter Hall	Hall	Porter	1888	\Am	M
John Halliday	Halliday	John	1880	\Br(Scot)	M
Charles Halton	Halton	Charles	1876	\Am	M
Rusty Hamer	Hamer	#	1947	\Am	M
Neil Hamilton	Hamilton	Neil	1899	\Am	M
Kay Hammond	Standing	Dorothy	1909	\Br	F
Jimmy Hanley	Hanley	Jimmy	1918	\Am	M
Lyn Harding	Harding	David Llewellyn	#	\Br	M
Jean Harlow	Carpentier	Harlean	1911	\Am	F
Pat Harrington	Harrington	Pat	#	\Am	#
M.K. Harris	#	#	#	#	M
Robert H. Harris	Harris	Robert H.	1911	\Am	M
Kathleen Harrison	Harrison	Kathleen	1898	\Br	F
Dorothy Hart	Hart	Dorothy	1923	\Am	F
William S. Hart	Hart	William Surrey	1870	\Am	M
William Hartnell	Hartnell	William	1908	#	M
Signe Hasso	Larsson	Signe	1915	\Sw	F
June Haver	Stovenour	June	1926	\Am	F
Charles Hawtrey	Hawtrey	Charles	1914	\Br	M
Harry Hayden	Hayden	Harry	1884	\Am	M
Russell Hayden	Lucid	Pate	1912	\Am	#
Sterling Hayden	Hayden	Sterling	1916	\Am	M
Richard Haydn	Haydn	Richard	1905	\Br	M
Allison Hayes	Hayes	Mary Jane	1930	\Am	F
Peter Lind Hayes	Hayes	Peter Lind	#	\Br	M
Susan Hayward	Marrener	Edythe	1918	\Am	F
Rita Hayworth	Cansino	Margarita Carmen	1918	\Am	F
David Hedison	Heditsian	Ara (Al)	1926	\Am	M
Katherine Helmond	Helmond	Katherine	1929	\Am	F
David Hemmings	Hemmings	David	1941	\Br	M
Sonja Henie	Henie	Sonja	1912	\No	F
Mike Henry	Henry	Mike	1939	\Am	M
Gladys Henson	Gunn	Gladys	1897	\Ir	F
Jim Henson	Henson	Jim	1936	\Am	M
Audrey Hepburn	Hepburn-Ruston	Audrey	1929	\Be	F
Katherine Hepburn	Hepburn	Katherine	1907	\Am	F
Bernard Hepton	Hepton	Bernard	1925	\Br	M
PeeWee Herman	Rubens	Paul	#	#	M
Juano Hernandez	Hernandez	Juano	1896	\Am	M
Jean Hersholt	Hersholt	Jean	1886	\Da	F
Charlton Heston	Heston	Charlton	1924	\Am	M
Louis Jean Heydt	Heydt	Louis	1905	\Am	M
William Hickey	Hickey	William	1928	\Am	M
Joan Hickson	Hickson	Joan	1906	\Br	F
Howard Hill	Hill	Howard	1898	\Am	M
Harriet Hilliard	Snyder	Peggy Lou	1914	\Am	F
Daisy Hilton	Hilton	Daisy	1908	\Br	F
Violet Hilton	Hilton	Violet	1908	\Br	F
John Hodiak	Hodiak	John	1914	\Am	M
Michael Hodern	Hodern	Sir Michael	#	\Br	M
Hulk Hogan	#	#	#	\Am	M
Arthur Hohl	Hohl	Arthur	1889	\Am	M
Hal Holbrook	Holbrook	Hal	1925	\Am	M
Sterling Holloway	Holloway	Sterling	1905	\Am	M
Ian Holm	Cuhbert	Ian Holm	1932	\Br	M
Jack Holt	Holt II	Charles John	1888	\Am	M
Robert E. Homans	Homans	Robert	1874	\Am	M
Bob Hope	Hope	Leslie Townes	1903	\Am	M
Bo Hopkins	Hopkins	Bo	1942	\Am	M
Christiane Hoerbiger	H\"orbiger	Christiane	#	\Ct	F
Paul Hoerbiger	H\"orbiger	Paul	#	\Ct	M
Ren\'ee Houston	Gribbin	Katherina Houston	1901	\Br	F
Whitney Houston	Houston	Whitney	1960	\Am	F
Leslie Howard	Stainer	Leslie	1890	\Hu	M
Sydney Howard	Howard	Sydney	1884	\Br	M
Harold Huber	Huber	Harold	1904	\Am	M
Walter Hudd	Hudd	Walter	1898	\Br	M
David Huddleston	Huddleston	David	1930	\Am	M
Wendy Hughes	Hughes	Wendy	#	\Au?	F
Claude Hulbert	Hulbert	Claude	1900	\Br	M
Tom Hulce	Hulce	Tom	#	\Am	M
Henry Hull	Hull	Henry	1890	\Am	M
Arthur Hunicutt	Hunicutt	Arthur	1911	\Am	M
Helen Hunt	#	#	1963	\Am	F
Martita Hunt	Hunt	Martita	1900	\Br	#
Kim Hunter	Cole	Janet	1922	\Am	F
John Hurt	Hurt	John	1940	\Br	M
Ruth Hussey	O\'Rourke	Ruth Carol	1914	\Am	F
John Huston	Huston	John	1906	\Am	M
Walter Huston	Houghston	Walter	1884	\Am	M
Josephine Hutchinson	Hutchinson	Josephine	1898	\Am	F
Leila Hyams	Hyams	Leila	1905	\Am	F
Iman	#	#	1956	#	F
Frieda Inescort	Wightman	Frieda	1900	\Br; Scots	F
John Ireland	Ireland	John	1914	\Ca	M
Gordon Jackson	Jackson	Gordon	1923	\Br ; Scots	M
Hattie Jacques	Jacques	Hattie	1924	\Br	F
Dean Jagger	Jeffries	Dean	1903	\Am	M
Elizabeth James	#	#	#	\Un	F
Jessica James	#	#	#	\Un	F
Sonny James	#	#	#	\Un	M
Thomas Jameson	Jameson	Thomas	#	\Br	M
Fr\'ed\'erique Jamet	#	#	#	\Un	M
Horst Janson	#	#	#	\Un	M
David Janssen	Janssen	David	1930	\Am	M
Famke Janssen	Janssen	Famke	#	\Du	F
Louis January	#	#	#	\Un	M
Peter Jason	#	#	#	\Un	M
Michael Jayston	James	Michael	1936	\Br	M
Gloria Jean	Jean	Gloria	1928	\Am	F
Ursula Jeans	McMinn	Ursula	1906	\Br	F
Barbara Jefford	Jefford	Barbara	1930	\Br	F
Lang Jeffries	#	#	#	\Un	M
Allen Jenkins	McGonegal	Alfred	1900	\Am	M
Megs Jenkins	Jenkins	Megs	1917	\Br	F
Claudia Jennings	#	#	#	\Un	F
DeWitt Jennings	Jennings	DeWitt	1879	\Am	M
Roy Cameron Jensen	#	#	#	\Un	M
Roy Jenson	#	#	#	\Un	M
Ann Jillian	#	#	#	\Un	F
David Johansen	#	#	#	\Un	M
Elton John	Dwight	Reginald Dennis	1947	\Br	M
Rosamund John	John	Rosamund	1913	\Br	F
Celia Johnson	Johnson	Dame Celia	1908	\Br	F
Chic Johnson	Johnson	Harold Ogden	1891	\Am	M
Glynis Johnson	#	#	#	\Un	F
Johnny Johnston	#	#	#	\Un	M
Katie Johnson	Johnson	Katie	1878	\Br	F
Laura Johnson	#	#	#	\Un	F
Michelle Johnson	#	#	#	\Un	F
Stephen Johnson	#	#	#	\Un	M
Al Jolson	Yoelson	Asa	1886	\Am	M
Allan Jones	Jones	Allan	1907	\Am	M
Buck Jones	Gebhardt	Charles	1889	\Am	M
Carolyn Jones	Jones	Carolyn	1929	\Am	F
Dean Jones	Jones	Dean	1933	\Am	M
Emrys Jones	Jones	Emrys	1915	\Br	M
Grace Jones	#	#	#	#	F
Hannah Jones	#	#	#	\Un	F
Jeffrey Jones	#	#	#	\Un	M
Jocelyn Jones	#	#	#	\Un	F
OLan Jones	O-Lan	Jones	#	\Un	F
Shirley Jones	Jones	Shirley	1934	\Am	F
Spike Jones	Jones	Lindley Armstrong	1911	\Am	M
Susan Jones	#	#	#	\Un	F
Terry Jones	#	#	#	\Un	#
Samson Jorah	#	#	#	\Un	M
Bobbie Jordan	Jordan	Bobbie	1923	\Am	M
Christine Jorgenson	Jorgenson	Christopher?	#	\Am	M,F
Victor Jory	Jory	Victor	1902	\Ca	M
Jackie Joseph	#	#	#	\Un	#
Darwin Joston	#	#	#	\Un	M
Louis Jourdan	Gendre	Louis	1919	\Fr	M
Leatrice Joy	Joy	Leatrice	1899	\Am	F
Robert Joy	#	#	#	\Un	M
Ashley Judd	Judd	Ashley	1970	\Un	F
Robert Judd	#	#	#	\Un	M
Katy Jurado	Garcia	Maria Jurado	1927	\Me	F
Deana Jurgens	#	#	#	\Un	F
James Robertson Justice	#	#	#	\Un	M
George Justin	#	#	#	\Un	M
Suzanne Kaaren	#	#	#	\Un	M
Wolf Kahler	#	#	#	\Un	M
Florence Kahn	Kahn	Florence	#	\Un	F
Jonathan Kahn	#	#	#	\Un	M
Toni Kalem	#	#	#	\Un	#
Helen Kallianoites	Kallianoites	Helena	#	#	F
Ida Kaminska	#	#	#	\Un	F
Anna Kanakis	#	#	#	\Un	M
Steve Kanaly	#	#	#	\Un	M
Byron Kane	#	#	#	\Un	M
Jimmy Kane	#	#	#	\Un	M
Michael Kane	#	#	#	\Un	M
Marvin Kaplin	Kaplin	Marvin	1924	\Am	M
Valerie Kaprisky	#	#	#	\Un	F
John Karlen	Karlen	John	1935	\Am	M
Miriam Karlin	Karlin	Miriam	1925	\Br	F
Boris Karloff	Pratt	William Henry	1887	\Br	M
Stubby Kaye	Kaye	Stubby	1918	\Am	M
Robert Emmett Keane	Keane	Robert Emmett	1883	\Am	M
Diane Keaton	Hall	Diane	1949	\Am	F
Howard Keel	Leek	Harold	1917	\Am	M
Ruby Keeler	Keeler	Ethel	1909	\Am	F
Tom Keene	Duryea	George	1896	\Am	M
Cecil Kellaway	Kellaway	Cecil	1891	\SA	M
\Und	#	#	#	#	#
Annette Kellerman	Kellerman	Annette	1888	\Au	F
Moira Kelly	Kelly	Moira	1969	\Am	F
Paula Kelly	Kelly	Paula	#	\Am	F
Gary Kemp	Kemp	Gary	1959	\Br	M
Martin Kemp	Kemp	Martin	1961	\Br	M
Henry Kendall	Kendall	Henry	1887	\Br	M
Kay Kendall	McCarthy	Justine	1926	\Br	F
Patsy Kensit	Kensit	gn	1969	#	F
Doris Kenyon	Kenyon	Doris	#	\Am	F
Deborah Kerr	Kerr-Trimmer	Deborah	1921	\GB (Scottish) Aw(AA Honorary; 1994)	F
Nicole Kidman	Kidman	Nicole	1967	\Au	F
Dead End Kids	n.a.	n.a.	1937	\Am	G
East Side Kids	n.a.	n.a.	1939	\Am	G
Percy Kilbride	Kilbride	Percy	1888	\Am	M
Val Kilmer	Kilmer	Val	1959	\Am	M
Anita King	King	Anita	1889	\Am	F
Charles King	King	Charles	1889	\Am	M
Charles King	King	Charles	1899	\Am	M
Stephen King	King	Stephen	1940	\Am	M
Walter Woolf King	King	Walter Woolf	1899	\Am	M
Melinda Kinnaman	#	#	#	\Un	F
Greg Kinnear	Kinnear	Greg	1963	\Ct	M
Nastassia Kinsky	Kinski	Nastassia	1959	\Ge	F
Lee Kinsolving	Kinsolving	Lee	1938	\Am	F
Bruno Kirby	#	#	#	\Un	M
Al Kirkeby	#	#	#	\Un	M
Sally Kirkland	#	#	#	\Un	F
James Kirkwood	bn	gn	#	\Ct	M
Oreste Kirkop	Kirkop	Oreste	#	Maltese	M
Terry Kiser	#	#	#	\Un	#
Tawny Kitaen	#	#	#	\Un	F
Michael Kitchen	#	#	#	\Un	M
Eartha Kitt	Kitt	Eartha	1928	\Am	F
Alf Kjellin	Kjellin	Alf	1920	\Sw	M
Bodil Kjer	#	#	#	\Un	M
Robert Klein	#	#	#	\Un	M
Kevin Kline	#	#	#	\Un	M
Val Kline	#	#	#	\Un	M
Debra Klose	#	#	#	\Un	#
David Knell	#	#	#	\Un	M
Evel Knievel	#	#	#	\Un	M
Esmond Knight	Knight	Esmond	1906	\Br; Welsh	M
Sandra Knight	#	#	#	\Un	F
Ted Knight	#	#	#	\Un	M
Don Knotts	Knotts	Don	1924	\Am	M
Alexander Knox	Knox	Alexander	1907	\Ca	M
Walter Koenig	#	#	#	\Un	M
Fred Kohler sr.	Kohler sr.	Fred	1889	\Am	M
Anna Konstam	#	#	#	\Un	F
Leopoldine Konstatin	#	#	#	\Un	F
Keystone Kops	Sterling	Ford	1912	\Am	G
Miliza Korjus	Korjus	Miliza	1908	\Po	F
Charlie Korsmo	#	#	#	\Un	M
Linda Koslowski)	Koslovski	Linda	#	#	F
Sho Kosugi	#	#	#	\Un	#
Jeroen Krabbe	Krabbe	Jeroen	#	\Ct	M
Jeffrey Kramer	#	#	#	\Un	M
Lisa Kreuzer	#	#	#	\Un	F
Anneline Kriel	#	#	#	\Un	F
Marta Kristen	#	#	#	\Un	F
Joseph Kroner	#	#	#	\Un	M
Alma Kruger	Kruger	Alma	1868	\Am	F
Otto Kruger	Kruger	Otto	1885	\Am	M
Vivian Kubrick	#	#	#	\Un	F
Paul Kukas	#	#	#	\Un	M
Cal Kuniholme	#	#	#	\Un	M
Alwyn Kurts	#	#	#	\Un	#
Katy Kurtzman	#	#	#	\Un	F
James Kushner	#	#	#	\Un	M
David Labiosa	#	#	#	\Un	M
Catherine Lacey	Lacey	Catherine	1904	\Br	F
Ronald Lacey	#	#	#	\Un	M
Taylor Lacher	#	#	#	\Un	M
Stephen Lack	#	#	#	\Un	M
Denis Lacroix	#	#	#	\Un	M
Jerry Lacy	#	#	#	\Un	M
Alan Ladd	Ladd	Alan	1913	\Am	M
David Ladd	#	#	#	\Un	M
Patricia Laffan	Laffan	Patricia	1919	\Br	F
Marcy Lafferty	#	#	#	\Un	F
Bert Lahr	Lahrheim	Irving	1895	\Am	M
Christine Lahti	#	#	#	\Un	F
Gary Lahti	#	#	#	\Un	M
Frankie Laine	LoVecchio	Frank Paul	1913	\Am	M
Veronica Lake	Ockleman	Constance	1919	\Am	F
Fernando Lamas	Lamas	Fernando	1915	\Ar	M
Lorenzo Lamas	#	#	#	\Un	M
Gil Lamb	Lamb	Gil	1906	\Am	M
Paul Lambert	#	#	#	\Un	M
Heath Lamberts	#	#	#	\Un	#
Duncan Lamont	Lamont	Duncan	1918	\Br; Scots	M
Molly Lamont	#	#	#	\Un	F
Charles Lampkin	#	#	#	\Un	M
Karl Lanchbury	#	#	#	\Un	M
Geoffrey Land	#	#	#	\Un	M
Judy Landers	#	#	#	\Un	F
Laurene Landon	#	#	#	\Un	#
Valerie Landsburg	#	#	#	\Un	F
Abbe Lane	#	#	#	\Un	#
Diane Lane	Lane	Diane	1965	\Un	F
Kent Lane	fn	gn	#	#	M
Mike Lane	#	#	#	\Un	M
Richard Lane	Lane	Richard	1900	\Un	M
Tom Lane	Lenesky	Tom	#	\Am	M
Matheson Lang	Lang	Matheson	1879	\Br; Scots	M
Perry Lang	#	#	#	\Un	M
Joi Lansing	Wassmansdoff	Joyce	1928	\Am	F
Mario Lanza	Cocozza	Alfredo	1921	\Am	M
Laurie Lapinski	#	#	#	\Un	F
Erik Larsen	#	#	#	\Un	M
Ham Larsen	#	#	#	\Un	M
Keith Larsen	Larsen	Keith	1925	\Am	M
Louise Lasser	Lasser	Louise	1939	\Am	F
Sidney Lassick	#	#	#	\Un	M
Louise Latham	Latham	Louise	#	\Am	F
Matt Lattanzi	#	#	#	\Un	M
Lyle Lattel	#	#	#	\Un	M
Tom Laughlin	Laughlin	Tom	1938	\Am	M
Charles Laughton	#	#	1899	\Br	M
Cyndi Lauper	Lauper	Cynthia	1953	\Am	F
Carol Laure	#	#	#	\Un	F
Stan Laurel	Jefferson	Arthur Stanley	1890	\Br	M
John Laurie	#	#	#	\Un	M
Piper Laurie	Jacobs	Rosetta	1932	\Am	F
Harry Lauter	Lauter	Harry	1920	\Am	M
Adam Lawrence	#	#	#	\Un	M
Barbara Lawrence	Lawrence	Barbara	1928	\Am	F
Bruno Lawrence	#	#	#	\Un	M
Delphi Lawrence	Lawrence	Delphi	1927	\Br-\Hu	F
Gertrude Lawrence	Lawrence-Klasen	Alexandra Dagmar	1898	\Br	F
Steve Lawrence	#	#	#	\Un	M
Robin Leach	#	#	#	\Un	M
Rosemary Leach	#	#	#	\Un	F
Stanley Leavitt	#	#	#	\Un	M
Otto Lederer	#	#	#	\Un	M
Bernard Lee	Lee	Bernard	1908	\Br	M
Carl Lee	#	#	#	\Un	M
China Lee	#	#	#	#	F
Christopher Lee	Lee	Christopher	1922	\Br	M
Cinque Lee	Lee	Cinqu\'e	#	\Am	#
Cynthia Lee	#	#	#	\Un	F
Joie Lee	Lee	Joie	#	\Am	F
Mark Lee	#	#	#	\Un	M
Robbie Lee	#	#	#	\Un	#
Richard Leech	McClelland	Richard	1922	\Br	M
Roger Leenhardt	#	#	#	\Un	M
Eva leGallienne	Eva	le Gallienne	#	\Ct	F
Beatrix Lehman	#	#	#	\Un	F
Fritz Leiber	Leiber	Fritz	1883	\Am	M
Don Leifert	#	#	#	\Un	M
Jennifer Jason Leigh	Morrow	Jennifer	1961	\Am	F
Tom Leindecker	#	#	#	\Un	M
Donovan Leitch	Leitch	Donovan	#	\Ct	M
Michael Lembeck	#	#	#	\Un	M
Meadowlark Lemon	#	#	#	\Un	#
John Lennon	#	#	#	\Un	M
Jean Lenoir	#	#	#	\Un	F
Leib Lensky	#	#	#	\Un	M
Rick Lenz	Lenz	Rick	1939	\Am	M
Sheldon Leonard	Bershad	Sheldon	1907	\Am	M
Tea Leoni	Leoni	T\'ea	#	\Un	F
Madeleine Leroux	Leroux	Madeleine	#	\Fr	#
Joan Leslie	Brodell	Joan	1925	\Am	F
Bob Lesser	#	#	#	\Un	M
Buddy Lester	#	#	#	\Un	M
Al Lettieri	Lettieri	Al	1927	\Am	M
Sam Levene	Levene	Sam	1905	\Am	M
David Lewis	#	#	#	\Un	M
Geoffrey Lewis	#	#	#	\Un	M
Jenny Lewis	#	#	1975	\Un	F
Jerry Lee Lewis	#	#	#	\Un	M
Joe Lewis	#	#	#	\Un	M
Viola Leyel	#	#	#	\Un	F
Brian Libby	#	#	#	\Un	M
Liberace	bn	gn	#	\Am	M
Anne Libert	#	#	#	\Un	F
Beatrice Lillie	Munston	Constance Sylvia	1898	\Br	F
Elmo Lincoln	Linkenhelter	Otto Elmo	1889	\Am	M
Virna Lisi	Pieralisi	Virna	1937	\It	F
Margaret Livingston	Livingston	Margaret	1900	\Am	F
Emily Lloyd	Lloyd	Emily	#	\Br	F
Harold Lloyd	Lloyd	Harold	1893	\Am	M
Charles Lloyd-Pack	Pack	Charles	1905	\Br	M
June Lockhart	Lockhart	June	1925	\Am	F
Barbara Loden	Loden	Barbara	#	\Ct	F
Gina Lollobrigida	Lollobrigida	Gina	1927	\It	F
Herbert Lom	\BN{Kuchacevich ze Schluderpacheru	\FN{Herbert Charles Angelo	1917	\Cz	M
Karina Lombard	Lombard	Karina	1969	\Am	F
Julie London	Peck	Julie	1926	\Am	F
Terence Longden	Longden	Terence	1922	\Br	M
Richard Loo	Loo	Richard	1903	\Am(Ha-Ch)	M
Traci Lords	#	#	#	#	F
Sophia Loren	Scicoloni	Sophia	1934	\It	F
Tina Louise	Louise	Tina	1934	\Am	F
Bessie Love	Horton	Juanita	1898	\Am	F
Frank Lovejoy	Lovejoy	Frank	1912	\Am	M
Dyson Lovell	Lovell	Dyson	#	\Br	M
Raymond Lovell	Lovell	Raymond	1900	\Ca	M
Lyle Lovett	Lovett	Lyle	1958	\US	M
Arthur Lowe	Lowe	Arthur	1914	\Br	M
Edmund Lowe	Lowe	Edmund	1890	\Am	M
Myrna Loy	Williams	Myrna	1905	\Am	F
Charles Ludlam	Ludlam	Charles	#	\Ct	M
Paul Lukas	Lukacs	Pal	1887	\Hu	M
Lulu	Lawrie	Marie	1948	\Br	F
John Lund	Lund	John	1913	\Am	M
Thuy An Luu	#	#	1967	#	F
Diana Lynn	Loehr	Dolores	1926	\Am	F
Jeffrey Lynn	Lind	Ragnar	1909	\Am	M
Ralph Lynn	Lynn	Ralph	1882	\Br	M
Ben Lyon	Lyon	Ben	1901	\Am	M
Sue Lyon	Lyon	Sue	1946	\Am	F
Bert Lytell	Lytell	Bert	1888	\Am	M
Jeanette MacDonald	MacDonald	Jeanette	#	\Am	F
Douglass MacLean	MacLean	Douglass	1890	\Am	M
Aline MacMahon	MacMahon	Aline	1899	\Am	F
Patrick MacNee	MacNee	Patrick	1922	\Br	M
George Macready	MaCready	George	1909	\Am	M
Victor Maddern	Maddern	Victor	1926	\Br	M
Noel Madison	Moscovitch	Nathaniel	1898	\Am	M
Madonna	Ciccone	fn	1959	\Am	F
Patrick Magee	Magee	Patrick	1924	\Br	M
Anna Magnani	Magnani	Anna	1907	\It	F
Marne Maitland	Maitland	Marne	1920	\Br-In	M
Karl Malden	Sekulovich	Malden	1913	\Am	M
Dorothy Malone	Maloney	Dorothy	1925	\Am	F
Jean Marais	Marais-Villain	Jean	1913	\Fr	M
Sophie Marceau	Marceau	Sophie	1967	\Fr	F
Jane March	March	Jane	1973	\Br	F
Theodore Marcuse	Marcuse	Theodore	1920	\Am	M
Janie Mareze	Mar\`eze	Janie	#	\Fr	F
Arthur Margetson	Margetson	Arthur	1897	\Br	M
Janet Margolin	Margolin	Janet	1943	\Am	F
Jane March	bn	gn	1973	\Am	F
Percy Marmont	Marmont	Percy	1883	\Br	M
Garry Marsh	Geraghty	Leslie March	1902	\Br	M
Herbert Marshall	Marshall	Herbert	1890	\Br	M
James Marshall	Marshall	James	1967	\Am	M
Sarah Marshall	#	#	#	\Am	F
Tully Marshall	Phillips	William	1864	\Am	M
AnneMarie Martin	Martin	Anne-Marie	1957	\Am	F
ChrisPin Martin	Martin	Chris-Pin	1894	Yaqui \In	M
Dean Martin	Crocetti	Dino	1917	\Am	M
Millicent Martin	Martin	Millicent	1934	\Br	F
Pamela Sue Martin	Martin	Pamela	#	\Am	F
Chico Marx	Schoenberg	Leonard	1886	\Am	M
Groucho Marx	Schoenberg	Julius	1890	\Am	M
Gummo Marx	Schoenberg	Milton	1893	\Am	M
Zeppo Marx	Schoenberg	Herbert	1901	\Am	M
Virginia Maskell	Maskell	Virginia	1936	\Br	F
James Mason	Mason	James	1909	\Br	M
Edith Massey	Massey	Edith	#	\Ct	F
Raymond Massey	Massey	Raymond	1896	\Ca	M
Chiara Mastroianni	Mastroianni	Chiara	1972	#	F
Richard Masur	Masur	Richard	#	\Am	M
Murray Matheson	Matheson	Murray	1912	\Br	M
Walter Matthau	Mathasschanskayasky	Walter	1920	\Am	M
A.E. Matthews	Matthews	A.E.	1869	\Br	M
Jessie Matthews	Matthews	Jessie	1907	\Br	F
Robin Mattson	#	#	#	\Am	F
Victor Mature	Mature	Victor	1915	\Am	M
Billy Mauch	Mauch	William	1925	\Ct	M
Bobby Mauch	Mauch	Robert	1925	\Ct	M
Carmen Maura	#	#	#	\Sp	F
Edwin Maxwell	Maxwell	Edwin	1886	\Am	M
Lois Maxwell	Hooker	Lois	1927	\Ca	F
Peter Mayhew	#	#	#	\Am	M
Ferdy Mayne	Mayer-Boerckel	Ferdinand	1916	\Ge	M
Virginia Mayo	Jones	Virginia	1920	\Am	F
Melanie Mayron	#	#	#	\Am	F
Ray McAnnely	McAnnely	Ray	#	\Ct	M
David McCallum	McCallum	David	1933	\Br; Scots	M
Myron McCormick	McCormick	Myron	1908	\Am	M
Alec McCowen	McCowen	Alec	1925	\Br	M
Betty McDowall	McDowall	Betty	#	\Au	F
Spanky McFarland	differentname	gn	#	\Am	M
John McGiver	McGiver	John	1913	\Am	M
Frank McGlynn	McGlynn	Frank~sr	1867	\Am	M
Alec McGowan	#	#	#	\Br	M
Charles McGraw	McGraw	Charles	1914	\Am	M
Frank McHugh	McHugh	Frank	1899	\Am	M
John McIntire	McIntire	John	1907	\Am	M
Patrick McNee	McNee	Patrick	1922	\Br	M
Steve McQueen	McQueen	Steve	1930	\Am	M
Michael McShane	McShane	Michael	1955	\Am	M
Jayne Meadows	Meadows	Jayne	1920	\Am	F
Ralph Meeker	Rathgeber	Ralph	1920	\Am	M
Thomas Meighan	Meighan	Thomas	1879	\Am	M
Doro Merande	Merande	Doro	1898	\Am	F
Melina Mercouri	Mercouri	Melina	1923	\Gr	F
Burgess Meredith	Burgess	George	1908	\Am	M
Lee Meriwether	Meriwether	Lee	1935	\Am	F
George Merritt	Merritt	George	1890	\Br	M
William Mervyn	Pickwood	William	1912	\Br	M
Ralph Michael	Shotter	Ralph Champion	1907	\Br	M
Charles Middleton	Middleton	Charles	1874	\Am	M
Robert Middleton	Middleton	Robert	1911	\Am	M
Toshiro Mifune	Mifune	Toshiro	1920	\Ja	M
Bernard Miles	Miles	Sir Bernard	1907	\Br	M
Sarah Miles	Miles	Sarah	1941	\Br	F
John Miljan	Miljan	John	1893	\Am	M
Dick Miller	Miller	Dick	1928	\Am	M
Marvin Miller	Mueller	M.	1913	\Am	M
Max Miller	Sargent	Harold	1895	\Br	M
Seton I. Miller	Miller	Seton I.	1902	\Am	M
Hayley Mills	Mills	Hayley	1946	\Br	F
John Mills	Mills	Sir John	1908	\Br	M
Mary Miles Minter	Reilly	Juliet	1902	\Am	F
MiouMiou	#	#	1950	\Fr	F
Cameron Mitchell	Mizell	Cameron	1918	\Am	M
Grant Mitchell	Mitchell	Grant	1874	\Am	M
Mary Mitchell	#	#	#	\Un	F
Millard Mitchell	Mitchell	Millard	1900	\Am	M
Yvonne Mitchell	Joseph	Yvonne	1925	\Br	F
James Mitchum	Mitchum	James	1938	\Am	M
John Mitchum	#	#	#	\Un	M
Robert Mitchum	Mitchum	Robert	1917	\Am	M
Nobuko Miyamoto	#	#	#	\Un	M
Jayne Modean	#	#	#	\Un	F
Matthew Modine	#	#	#	\Un	M
Grace `Bambi' Moehrle	Moehrle	Grace	1960	\Ct	F
Donald Moffat	#	#	#	\Un	M
Gerald Mohr	Mohr	Gerald	1914	\Am	M
Angela Molina	#	#	#	\Un	F
Georgia Moll	#	#	#	\Un	F
Henry Mollison	Mollison	Henry	#	\Br	M
Pierre Mondy	Cuq	Pierre	1925	\Fr	M
Yves Montand	Levi	Ivo	1921	\Fr	M
Tony Monsanto	#	#	#	\Un	M
Lee Montague	Montague	Lee	1927	\Br	M
Carlos Montalban	#	#	#	\Un	M
Bull Montana	Montagna	Luigi	1887	\It-\Am	M
Yves Montand	Levi	Ivo	1921	\Fr	M
Lenny Montano	#	#	#	\Un	M
Joe Montegna	#	#	#	\Un	M
M.J. Montfajon	#	#	#	\Un	M
Julie Montgomery	#	#	#	\Un	F
Robert Montgomery	Montgomery	Henry	1904	\Br	M
Jim Moody	#	#	#	\Un	M
Keith Moon	#	#	#	\Un	M
Alvy Moore	#	#	#	\Un	M
Barry Moore	#	#	#	\Un	M
Candy Moore	#	#	#	\Un	F
Demi Moore	Moore	gn	#	\Am	F
Dennis Moore	#	#	#	\Un	M
Dudley Moore	Moore	Dudley	1935	\Am	M
Eileen Moore	#	#	#	\Un	F
Eva Moore	Moore	Eva	1870	\Br	F
Grace Moore	Moore	Grace	1901	\Am	F
Kenny Moore	#	#	#	\Un	M
Matt Moore	Moore	Matt	1888	\Am	M
Owen Moore	Moore	Owen	1887	\Am	M
Robert Moore	Moore	Robert	1927	\Am	M
Tom Moore	Moore	Tom	1883	\Am	M
Agnes Moorehead	Moorehead	Agnes	1906	\Am	F
Santos Morales	#	#	#	\Un	M
Erin Moran	#	#	#	\Un	#
Gerard Moran	#	#	#	\Un	M
Lois Moran	Moran-Young	Lois	1909	\Am	F
Polly Moran	Moran	Polly	1884	\Am	F
Agnes Morehead	#	#	#	\Un	F
Rina Morelli	#	#	#	\Un	F
Antonio Moreno	Moreno	Antonio	1886	\Sp	M
Rita Moreno	Alverio	Rosita Dolores	1931	\PR	F
Cindy Morgan	#	#	#	\Un	F
Debbi Morgan	#	#	#	\Un	F
Hank Morgan	#	#	#	\Un	M
Ralph Morgan	Wupperman	Ralph	1882	\Am	M
Sidney Morgan	#	#	#	\Un	M
Stafford Morgan	#	#	#	\Un	M
